Ch;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;433,900000;OFF;7,600000;25kHz;FM;LPD-34;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,925000;OFF;7,600000;25kHz;FM;LPD-35;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,950000;OFF;7,600000;25kHz;FM;LPD-36;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,975000;OFF;7,600000;25kHz;FM;LPD-37;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;;;;;;;;;;;;;;;;;
0;165,975000;DUP-;4,600000;25kHz;FM;Sci Ciampac;OFF;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,100000;DUP-;4,600000;25kHz;FM;Sci Baffaure;OFF;TONE;186,2Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;163,325000;DUP-;4,600000;25kHz;FM;Sci Catinaccio;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;161,900000;DUP-;4,600000;25kHz;FM;Sci Cermis;OFF;TONE;186,2Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,200000;DUP-;4,600000;25kHz;FM;Sci Pampeago;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;160,625000;DUP-;4,600000;25kHz;FM;Sci Latemar;OFF;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;161,650000;DUP-;4,600000;25kHz;FM;Sci Oberegen;OFF;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;164,075000;DUP-;4,600000;25kHz;FM;Sci Lusia;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;160,300000;DUP-;4,600000;25kHz;FM;Sci Costabella;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;164,037500;DUP-;4,600000;25kHz;FM;Sci Belvedere;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,662500;DUP-;4,600000;25kHz;FM;Socc Alp Fassa;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;173,962500;DUP-;4,600000;25kHz;FM;Socc Alp Verona;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;161,862500;DUP-;4,600000;25kHz;FM;Elisoccorso TN;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,325000;DUP-;4,600000;25kHz;FM;ATV Verona;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;172,650000;DUP-;4,600000;25kHz;FM;A4 RPT1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;172,725000;DUP-;4,600000;25kHz;FM;A4 RPT2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
